, (L
, Shortened form of an
, Originally the preposition a (an, on)
A, Abbreviated form of an (AS
A, From AS
AAM, D
AARD-VARK, D
AARD-WOLF, D, earth-wolf] (Zoöl
AARON'S ROD, See Exodus vii
AB-, Latin prep
AB, Of Syriac origin
ABACA, The native name
ABACINATE, LL
ABACISCUS, Gr
ABACIST, LL abacista, fr
ABACK, Pref
ABACTINAL, L
ABACTOR, L
ABACULUS, L
ABACUS, L
ABADA, Pg
ABADDON, Heb
ABAFT, Pref
ABAISANCE, For obeisance; confused with F
ABALIENATE, L
ABALIENATION, L
ABAND, Contracted from abandon
A*ban"don, v.t. [imp. & p.p. Abandoned; p.pr. & vb.n. Abandoning.], OF
ABANDON, F
ABANDON, F
ABANDONMENT, Cf
ABANDUM, LL
ABANGA, Name given by the negroes in the island of St
ABANNATION; ABANNITION, LL
ABARTICULATION, L
ABASE, F
, F
ABASEMENT, Cf
ABASH, 
ABASHMENT, Cf
ABASSI; ABASSIS, Ar
ABATE, OF
ABATE, See Abate, v
ABATEMENT, OF
ABATIS; ABATTIS, F
ABATTOIR, F
ABATURE, F
ABATVOIX, F
ABAWED, Perh
ABAXIAL; ABAXILE, L
ABAY, OF
ABB, AS
ABBA, Syriac abba father
ABBACY, L
ABBATIAL, LL
ABBE, F
ABBESS, OF
ABBEY, OF
ABBOT, AS
ABBOTSHIP, Abbot + -ship
Ab*bre"vi*ate, v.t. [imp. & p.p. Abbreviated; p.pr. & vb.n., L
ABBREVIATE, L
ABBREVIATION, LL
ABBREVIATOR, LL
ABDAL, Ar
ABDERIAN, From Abdera, a town in Thrace, of which place
ABDERITE, L
ABDEST, Per
ABDICANT, L
Ab"di*cate, v.t. [imp. & p.p. Abdicated; p.pr. & vb.n. Abdicating.], L
ABDICATION, L
ABDICATIVE, L
ABDITIVE, L
ABDITORY, L
ABDOMEN, L
ABDOMINAL, Cf
ABDOMINALES, NL
ABDOMINALIA, NL
ABDOMINOSCOPY, L
ABDUCE, 
ABDUCT, 
ABDUCTION, L
ABDUCTOR, NL
ABEAM, Pref
ABEAR, AS
ABECEDARIAN, L
ABED, Pref
ABELE, D
ABELMOSK, NL
ABERR, L
ABERRANT, L
ABERRATE, L
ABERRATION, L
ABERUNCATE, L
ABET, 
ABET, OF
ABEVACUATION, Pref
ABEYANCE, OF
ABHOMINAL, L
Ab*hor", v. t. [imp. & p. p. Abhorred; p. pr. & vb. n. Abhorring.], L
ABHORRENT, L
ABIB, Heb
A*bide", v. i. [imp. & p. p. Abode, formerly Abid(#); p. pr. & vb. n., AS
ABIES, L
ABIETENE, L
ABIETIN; ABIETINE, See Abietene
ABIGAIL, The proper name used as an appellative
ABILITY, F
ABIME; ABYME, F
ABIOGENESIS, Gr
ABIOLOGICAL, Gr
ABIRRITATE, Pref
ABJECT, L
ABJECT, From Abject, a
ABJECTION, F
ABJUDGE, Pref
ABJUDICATE, L
ABJUGATE, L
ABJUNCTIVE, L
ABJURATION, L
Ab*jure", v. t. [imp. & p. p. Abjured; p. pr. & vb. n. Abjuring.], L
ABLACTATE, L
ABLAQUEATE, L
ABLAQUEATION, L
