('OE.', 'AS.', 'OE.')
('AS.', 'OF.', 'OE.')
('F.', 'OE.', 'L.')
('AS.', 'F.', 'OE.')
('AS.', 'L.', 'OE.')
('L.', 'F.', 'OE.')
('OE.', 'L.', 'L.')
('OF.', 'OE.', 'OE.')
('F.', 'AS.', 'L.')
('OE.', 'OF.', 'L.')
('L.', 'AS.', 'OE.')
('L.', 'F.', 'AS.')
('OF.', 'AS.', 'OE.')
('L.', 'OE.', 'OE.')
('L.', 'AS.', 'AS.')
('OE.', 'OF.', 'OE.')
('OE.', 'F.', 'OE.')
('OE.', 'OF.', 'AS.')
('AS.', 'L.', 'L.')
('OE.', 'F.', 'AS.')
('AS.', 'L.', 'OF.')
('F.', 'OE.', 'AS.')
('AS.', 'AS.', 'F.')
('OE.', 'OE.', 'L.')
('AS.', 'OE.', 'F.')
('F.', 'OE.', 'OE.')
('OE.', 'OE.', 'OE.')
('L.', 'OE.', 'L.')
('OE.', 'AS.', 'L.')
('F.', 'AS.', 'OE.')
('L.', 'OE.', 'AS.')
('L.', 'AS.', 'L.')
('OE.', 'AS.', 'OF.')
('L.', 'AS.', 'F.')
('L.', 'OF.', 'OE.')
('AS.', 'OE.', 'OE.')
('L.', 'F.', 'F.')
('L.', 'L.', 'AS.')
('OE.', 'F.', 'F.')
('AS.', 'F.', 'L.')
('OE.', 'OE.', 'F.')
('L.', 'OF.', 'AS.')
('AS.', 'AS.', 'OF.')
('AS.', 'F.', 'F.')
('L.', 'L.', 'OE.')
('AS.', 'AS.', 'L.')
('OE.', 'AS.', 'F.')
('AS.', 'OE.', 'OF.')
('OE.', 'OE.', 'AS.')
('F.', 'L.', 'L.')
('AS.', 'OE.', 'L.')
('L.', 'L.', 'L.')
('OE.', 'AS.', 'AS.')
('OE.', 'L.', 'OE.')
('OF.', 'AS.', 'AS.')
('OE.', 'L.', 'AS.')
('F.', 'L.', 'AS.')
('F.', 'F.', 'AS.')
('F.', 'AS.', 'AS.')
('OE.', 'OE.', 'OF.')
('L.', 'L.', 'OF.')
('OE.', 'L.', 'F.')
('F.', 'F.', 'OE.')
('AS.', 'OE.', 'AS.')
('AS.', 'AS.', 'AS.')
('F.', 'F.', 'L.')
('OF.', 'L.', 'L.')
('OF.', 'AS.', 'L.')
('AS.', 'OF.', 'AS.')
('F.', 'L.', 'OE.')
('AS.', 'F.', 'AS.')
('AS.', 'AS.', 'OE.')
('AS.', 'L.', 'AS.')
('OF.', 'OE.', 'L.')
('NL.', 'AS.', 'AS.')
('L.', 'L.', 'F.')
('OE.', 'F.', 'L.')
('L.', 'OE.', 'F.')
('OF.', 'F.', 'AS.')
('AS.', 'NL.', 'AS.')
('F.', 'AS.', 'NL.')
('F.', 'OE.', 'F.')
('OE.', 'OF.', 'F.')
('F.', 'AS.', 'F.')
('OF.', 'AS.', 'F.')
('OF.', 'OE.', 'AS.')
('OF.', 'L.', 'OF.')
('AS.', 'L.', 'F.')
('OF.', 'AS.', 'OF.')
('L.', 'AS.', 'OF.')
('L.', 'OF.', 'L.')
('F.', 'OF.', 'AS.')
('OF.', 'L.', 'AS.')
('OF.', 'L.', 'OE.')
('OF.', 'L.', 'F.')
('F.', 'OE.', 'OF.')
('OF.', 'OE.', 'F.')
('OF.', 'OE.', 'OF.')
('L.', 'F.', 'L.')
('AS.', 'F.', 'OF.')
('F.', 'AS.', 'OF.')
('OE.', 'L.', 'OF.')
('AS.', 'OF.', 'OF.')
('AS.', 'OF.', 'L.')
('OF.', 'OF.', 'OE.')
('NL.', 'AS.', 'L.')
('OF.', 'F.', 'OE.')
('F.', 'OF.', 'F.')
('L.', 'OE.', 'OF.')
('OE.', 'AS.', 'NL.')
('OF.', 'OF.', 'AS.')
('L.', 'OF.', 'OF.')
('NL.', 'F.', 'AS.')
('NL.', 'L.', 'AS.')
('OE.', 'F.', 'OF.')
('NL.', 'OE.', 'AS.')
('AS.', 'NL.', 'OE.')
('F.', 'OF.', 'L.')
('AS.', 'NL.', 'F.')
('AS.', 'NL.', 'L.')
('AS.', 'AS.', 'NL.')
('L.', 'AS.', 'NL.')
('F.', 'L.', 'F.')
('OE.', 'OF.', 'OF.')
('AS.', 'OF.', 'F.')
('OF.', 'OF.', 'F.')
('L.', 'NL.', 'OE.')
('NL.', 'OE.', 'L.')
('NL.', 'OE.', 'OE.')
('F.', 'F.', 'OF.')
('F.', 'L.', 'OF.')
('AS.', 'L.', 'NL.')
('OE.', 'L.', 'NL.')
('NL.', 'AS.', 'OE.')
('OF.', 'AS.', 'NL.')
('L.', 'NL.', 'AS.')
('NL.', 'AS.', 'OF.')
('OE.', 'OE.', 'NL.')
('OF.', 'OF.', 'L.')
('OE.', 'NL.', 'AS.')
('F.', 'OF.', 'OE.')
('OE.', 'NL.', 'OE.')
('AS.', 'OE.', 'NL.')
('NL.', 'L.', 'F.')
('NL.', 'L.', 'OE.')
('OE.', 'NL.', 'L.')
('NL.', 'L.', 'L.')
('L.', 'F.', 'OF.')
('OF.', 'F.', 'L.')
('OF.', 'OF.', 'OF.')
('L.', 'OF.', 'F.')
('L.', 'OE.', 'NL.')
('OF.', 'OE.', 'NL.')
('F.', 'OE.', 'NL.')
('L.', 'L.', 'NL.')
('F.', 'L.', 'NL.')
('NL.', 'AS.', 'F.')
('NL.', 'OE.', 'OF.')
('NL.', 'F.', 'L.')
('OE.', 'NL.', 'F.')
('NL.', 'F.', 'OE.')
('OF.', 'F.', 'OF.')
('NL.', 'AS.', 'NL.')
('L.', 'NL.', 'L.')
('OF.', 'F.', 'F.')
('F.', 'OF.', 'OF.')
('L.', 'NL.', 'F.')
('OE.', 'F.', 'NL.')
('F.', 'NL.', 'L.')
('F.', 'F.', 'F.')
('OF.', 'NL.', 'OF.')
('L.', 'NL.', 'OF.')
('NL.', 'OF.', 'OE.')
('OE.', 'OF.', 'NL.')
('NL.', 'OF.', 'F.')
('AS.', 'NL.', 'OF.')
('NL.', 'OF.', 'L.')
('NL.', 'OF.', 'AS.')
('NL.', 'OF.', 'OF.')
('AS.', 'OF.', 'NL.')
('OF.', 'NL.', 'L.')
('NL.', 'OE.', 'F.')
('AS.', 'F.', 'NL.')
('F.', 'NL.', 'OE.')
('NL.', 'NL.', 'OF.')
('OE.', 'NL.', 'NL.')
('L.', 'NL.', 'NL.')
('NL.', 'NL.', 'OE.')
('AS.', 'NL.', 'NL.')
('NL.', 'OE.', 'NL.')
('OE.', 'NL.', 'OF.')
('NL.', 'NL.', 'AS.')
('OF.', 'NL.', 'AS.')
