('OE.', 'AS.', 'OF.', 'AS.')
('OF.', 'AS.', 'L.', 'AS.')
('AS.', 'L.', 'OE.', 'OE.')
('AS.', 'OE.', 'L.', 'L.')
('OE.', 'OF.', 'AS.', 'OE.')
('AS.', 'AS.', 'F.', 'AS.')
('F.', 'L.', 'AS.', 'AS.')
('OE.', 'AS.', 'AS.', 'AS.')
('OF.', 'AS.', 'AS.', 'F.')
('L.', 'F.', 'OE.', 'AS.')
('F.', 'AS.', 'OE.', 'OE.')
('OE.', 'AS.', 'AS.', 'L.')
('OE.', 'OE.', 'AS.', 'OF.')
('L.', 'F.', 'F.', 'AS.')
('L.', 'OE.', 'AS.', 'OF.')
('AS.', 'L.', 'L.', 'L.')
('OE.', 'AS.', 'AS.', 'OF.')
('OE.', 'F.', 'AS.', 'AS.')
('L.', 'AS.', 'OE.', 'L.')
('AS.', 'F.', 'AS.', 'AS.')
('AS.', 'OE.', 'AS.', 'AS.')
('OF.', 'AS.', 'OE.', 'AS.')
('AS.', 'F.', 'L.', 'OE.')
('AS.', 'L.', 'AS.', 'OE.')
('AS.', 'L.', 'L.', 'AS.')
('AS.', 'AS.', 'OE.', 'F.')
('L.', 'AS.', 'AS.', 'OF.')
('AS.', 'OE.', 'AS.', 'L.')
('L.', 'AS.', 'AS.', 'AS.')
('AS.', 'AS.', 'OF.', 'AS.')
('AS.', 'L.', 'OF.', 'AS.')
('F.', 'F.', 'AS.', 'AS.')
('L.', 'OE.', 'OE.', 'OE.')
('OE.', 'AS.', 'AS.', 'OE.')
('OE.', 'F.', 'OE.', 'AS.')
('F.', 'OE.', 'OE.', 'OE.')
('AS.', 'L.', 'OE.', 'AS.')
('AS.', 'AS.', 'L.', 'OE.')
('AS.', 'AS.', 'AS.', 'OE.')
('OF.', 'OE.', 'OE.', 'AS.')
('OE.', 'OE.', 'L.', 'OE.')
('OF.', 'AS.', 'OE.', 'L.')
('OE.', 'L.', 'AS.', 'AS.')
('OE.', 'L.', 'L.', 'OE.')
('OE.', 'OE.', 'AS.', 'AS.')
('OE.', 'OE.', 'L.', 'L.')
('OF.', 'OE.', 'OE.', 'L.')
('OE.', 'AS.', 'OF.', 'OE.')
('L.', 'L.', 'AS.', 'F.')
('F.', 'F.', 'OE.', 'OE.')
('OE.', 'AS.', 'L.', 'OE.')
('AS.', 'F.', 'OE.', 'L.')
('L.', 'L.', 'OE.', 'L.')
('L.', 'AS.', 'AS.', 'L.')
('AS.', 'OE.', 'OE.', 'OF.')
('AS.', 'F.', 'OE.', 'AS.')
('OE.', 'OE.', 'OE.', 'OE.')
('OE.', 'L.', 'OE.', 'AS.')
('L.', 'L.', 'OE.', 'AS.')
('F.', 'L.', 'OE.', 'OE.')
('OE.', 'OE.', 'OE.', 'L.')
('OE.', 'AS.', 'OE.', 'OF.')
('F.', 'OE.', 'L.', 'OE.')
('OE.', 'OE.', 'AS.', 'L.')
('AS.', 'F.', 'AS.', 'OE.')
('OE.', 'L.', 'F.', 'AS.')
('AS.', 'OE.', 'L.', 'AS.')
('OE.', 'OE.', 'F.', 'AS.')
('AS.', 'L.', 'AS.', 'AS.')
('AS.', 'AS.', 'OE.', 'AS.')
('F.', 'OE.', 'OE.', 'L.')
('L.', 'AS.', 'L.', 'L.')
('AS.', 'AS.', 'OE.', 'OF.')
('L.', 'AS.', 'AS.', 'F.')
('OE.', 'OE.', 'AS.', 'OE.')
('AS.', 'OF.', 'AS.', 'L.')
('AS.', 'AS.', 'L.', 'AS.')
('L.', 'L.', 'AS.', 'L.')
('L.', 'F.', 'OE.', 'L.')
('AS.', 'OE.', 'OF.', 'AS.')
